word,pinyin,meaning_en,level,category,cky_mandatory
方便,fāng biàn,convenient,L1,物品,⭐
雪白,xuě bái,snow white,L1,動物,⭐
鋒利,fēng lì,sharp,L2,動物,⭐
積極,jī jí,active,L1,性格,⭐
狡猾,jiǎo huá,crafty,L1,性格,⭐
善良,shàn liáng,good and honest,L1,性格,⭐
謙虛,qiān xū,modest,L1,性格,⭐
勇敢,yǒng gǎn,brave,L1,性格,⭐
自私,zì sī,selfish,L1,性格,⭐
誠實,chéng shí,honest,L1,性格,⭐
認真,rèn zhēn,conscientious,L1,性格,⭐
愚笨,yú bèn,stupid,L1,性格,⭐
正直,zhèng zhí,upright,L1,性格,⭐
禮貌,lǐ mào,courtesy,L1,性格,⭐
調皮,tiáo pí,naughty,L1,性格,⭐
拍照,pāi zhào,to take a picture,L1,活動事件,⭐
燒烤,shāo kǎo,barbecue,L1,活動事件,⭐
辦公室,bàn gōng shì,office,L1,地點景物,⭐
郊外,jiāo wài,outskirts,L1,地點景物,⭐
鄰居,lín jū,neighbor,L1,人物,⭐
晚上,wǎn shang,evening,L1,時間,⭐
煙火,yān huǒ,smoke and fire,L1,節日,⭐
潔白,jié bái,spotlessly white,L1,物品,⭐
整齊,zhěng qí,orderly,L1,物品,⭐
美麗,měi lì,beautiful,L1,物品,⭐
漂亮,piào liang,pretty,L1,物品,⭐
衣裳,yī shang,clothes,L1,物品,⭐
鉛筆,qiān bǐ,pencil,L1,物品,⭐
清淡,qīng dàn,light,L1,食物,⭐
冬瓜,dōng guā,wax gourd,L1,食物,⭐
牛奶,niú nǎi,cow's milk,L1,食物,⭐
蘋果,píng guǒ,apple,L1,食物,⭐
雞蛋,jī dàn,egg,L1,食物,⭐
零食,líng shí,snack,L1,食物,⭐
香蕉,xiāng jiāo,banana,L1,食物,⭐
害怕,hài pà,to be afraid,L1,心理,⭐
擔心,dān xīn,anxious,L1,心理,⭐
緊張,jǐn zhāng,nervous,L1,心理,⭐
興奮,xīng fèn,excited,L1,心理,⭐
冷靜,lěng jìng,calm,L1,心理,⭐
好奇,hào qí,inquisitive,L1,心理,⭐
驚喜,jīng xǐ,nice surprise,L1,心理,⭐
一字不漏,yī zì bù lòu,without missing a word,L3,語文概念,⭐
一模一樣,yī mú yī yàng,exactly the same,L1,人生哲理,⭐
一縷,yī lǚ,one strand,L3,物品,⭐
一趟,yī tāng,one old,L3,動作,⭐
一隻,yī zhī,one classifier for birds and certain animals,L1,語文概念,⭐
七嘴八舌,qī zuǐ bā shé,lively discussion with everybody talking at once,L3,動作,⭐
不分晝夜,bù fēn zhòu yè,day and night,L3,時間,⭐
不擇手段,bù zé shǒu duàn,by fair means or foul,L3,性格,⭐
中暑,zhòng shǔ,to suffer heat exhaustion,L4,健康,⭐
乘坐,chéng zuò,to ride,L1,動作,⭐
乘機,chéng jī,to take the opportunity,L4,動作,⭐
乾燥,gān zào,dry,L2,外貌,⭐
五彩繽紛的,wǔ cǎi bīn fēn de,all the colors in profusion,L1,顏色,⭐
五體投地,wǔ tǐ tóu dì,to prostrate oneself in admiration,L4,人生哲理,⭐
井言有序,jǐng yán yǒu xù,well organised,L4,動作,⭐
亡羊補牢,wáng yáng bǔ láo,lit. to mend the pen after sheep are lost,L2,性格,⭐
交通,jiāo tōng,to be connected,L1,活動事件,⭐
今天,jīn tiān,today,L1,時間,⭐
仍然,réng rán,still,L1,時間,⭐
使勁,shǐ jìn,to exert all one's strength,L1,動作,⭐
使用,shǐ yòng,to use,L1,動作,⭐
俠義,xiá yì,chivalrous,L3,性格,⭐
倒閉,dǎo bì,to go bankrupt,L4,活動事件,⭐
倒霉,dǎo méi,to have bad luck,L1,語文概念,⭐
值得,zhí de,worth the money,L1,語文概念,⭐
假期,jià qī,vacation,L1,時間,⭐
假裝,jiǎ zhuāng,to feign,L2,心理,⭐
偏僻,piān pì,remote,L4,地點景物,⭐
偏見,piān jiàn,prejudice,L3,心理,⭐
偏遠,piān yuǎn,remote,L3,地點景物,⭐
做事,zuò shì,to work,L1,動作,⭐
做飯,zuò fàn,to prepare a meal,L1,動作,⭐
僥倖,jiǎo xìng,luckily,L4,心理,⭐
僵硬,jiāng yìng,stiff,L3,外貌,⭐
優秀,yōu xiù,outstanding,L2,性格,⭐
優良,yōu liáng,fine,L1,性格,⭐
光明,guāng míng,light,L1,天文氣象,⭐
光溜溜,guāng liu liū,smooth slip away,L3,外貌,⭐
光澤,guāng zé,luster,L3,外貌,⭐
兌現,duì xiàn,to cash,L3,動作,⭐
最後,zuì hòu,final,L1,時間,⭐
冬季,dōng jì,winter,L1,四季,⭐
冬眠,dōng mián,to hibernate,L1,動物,⭐
冰棒,bīng bàng,popsicle,L1,食物,⭐
冰涼,bīng liáng,ice-cold,L1,天文氣象,⭐
冰箱,bīng xiāng,refrigerator,L1,物品,⭐
冷凍,lěng dòng,to freeze,L1,天文氣象,⭐
冷清,lěng qīng,cold and cheerless,L1,天文氣象,⭐
利欲薰心,lì yù xūn xīn,cupidity dominate one's thoughts,L4,性格,⭐
剔除,tī chú,to reject,L1,動作,⭐
剩餘,shèng yú,remainder,L2,動作,⭐
創作,chuàng zuò,to create,L3,動作,⭐
劈柴,pī chái,to chop firewood,L4,動作,⭐
募捐,mù juān,to solicit contributions,L4,活動事件,⭐
匯集,huì jí,to collect,L3,動作,⭐
區別,qū bié,difference,L4,語文概念,⭐
千載難逢,qiān zǎi nán féng,extremely rare,L3,活動事件,⭐
危機四伏,wēi jī sì fú,danger lurks on every side,L3,活動事件,⭐
厚薄,hòu báo,thickness,L4,外貌,⭐
厲害,lì hai,terrible,L1,心理,⭐
受傷,shòu shāng,to sustain injuries,L1,健康,⭐
口渴,kǒu kě,thirsty,L4,健康,⭐
古墓,gǔ mù,old tomb,L4,地點景物,⭐
只有,zhǐ yǒu,only have ...,L1,語文概念,⭐
可以,kě yǐ,can,L1,語文概念,⭐
可怕,kě pà,awful,L1,心理,⭐
吃飽,chī bǎo,to eat one's fill,L1,動作,⭐
呆若木雞,dāi ruò mù jī,lit. dumb as a wooden chicken,L4,外貌,⭐
告訴,gào sù,to press charges,L1,動作,⭐
和暖的,hé nuǎn de,pleasantly warm,L1,外貌,⭐
和藹,hé ǎi,kindly,L3,性格,⭐
唯利是圖,wéi lì shì tú,to be bent solely on profit,L4,性格,⭐
唱歌,chàng gē,to sing a song,L1,動作,⭐
商議,shāng yì,to negotiate,L3,心理,⭐
問題,wèn tí,question,L1,語文概念,⭐
啜泣,chuò qì,to sob,L3,動作,⭐
啞口無言,yǎ kǒu wú yán,dumbstruck and unable to reply,L3,動作,⭐
喜歡,xǐ huan,to like,L1,心理,⭐
喝水,hē shuǐ,drink water,L1,動作,⭐
喝湯,hē shāng,drink rushing current,L1,食物,⭐
單純,dān chún,simple,L3,性格,⭐
嗆著,qiāng zhe,choke a move in chess,L3,健康,⭐
嘔吐,ǒu tù,to vomit,L4,健康,⭐
回復,huí fù,to reply,L2,動作,⭐
回答,huí dá,to reply,L1,動作,⭐
圍繞,wéi rào,to revolve around,L3,動作,⭐
圖畫,tú huà,drawing,L3,物品,⭐
堵塞,dǔ sè,to clog up,L4,動作,⭐
塗上顏色,tú shǎng yán sè,apply up color,L1,顏色,⭐
填色,tián sè,fill or stuff color,L1,動作,⭐
壁報,bì bào,wall newspaper,L1,物品,⭐
壓扁,yā biǎn,to squash,L3,動作,⭐
大叫,dà jiào,big shout,L1,動作,⭐
大炮,dà pào,big gun,L1,物品,⭐
天鵝,tiān é,swan,L1,動物,⭐
夾板,jiā bǎn,wooden boards used to press sth together,L3,物品,⭐
好像,hǎo xiàng,as if,L1,語文概念,⭐
如果,rú guǒ,if,L1,語文概念,⭐
如釋重負,rú shì zhòng fù,as if relieved from a burden,L3,人生哲理,⭐
姐妹,jiě mèi,sisters,L1,人物,⭐
姑媽,gū mā,father's married sister,L1,人物,⭐
姓名,xìng míng,full name,L1,語文概念,⭐
婚禮,hūn lǐ,wedding ceremony,L2,活動事件,⭐
學校,xué xiào,school,L1,地點景物,⭐
安裝,ān zhuāng,to install,L2,科技知識,⭐
完成,wán chéng,to complete,L1,動作,⭐
害羞,hài xiū,shy,L1,心理,⭐
家務,jiā wù,household duties,L1,活動事件,⭐
容易,róng yì,easy,L1,語文概念,⭐
密密麻麻,mì mi má má,numerous and close together,L4,外貌,⭐
富饒,fù ráo,fertile,L4,環境保護,⭐
寓言,yù yán,fable,L1,語文概念,⭐
寫作,xiě zuò,to write,L1,動作,⭐
寶貴,bǎo guì,valuable,L1,人生哲理,⭐
對待,duì dài,to treat,L2,動作,⭐
居住,jū zhù,to reside,L1,動作,⭐
屢次,lǚ cì,repeatedly,L3,時間,⭐
崎嶇,qí qū,rugged,L4,外貌,⭐
已經,yǐ jīng,already,L1,時間,⭐
布幕,bù mù,screen,L4,物品,⭐
平躺,píng tǎng,flat recline,L3,健康,⭐
幸災樂禍,xìng zāi lè huò,lit. to take joy in calamity and delight in disaster,L2,性格,⭐
幾乎,jī hū,almost,L3,心理,⭐
店鋪,diàn pù,store,L4,地點景物,⭐
廚餘,chú yú,kitchen waste,L2,環境保護,⭐
弊端,bì duān,systemic problem,L4,人生哲理,⭐
強迫,qiǎng pò,to compel,L3,動作,⭐
彆扭,biè niu,awkward,L4,外貌,⭐
形形色色,xíng xíng sè sè,all kinds of,L3,外貌,⭐
形狀,xíng zhuàng,form,L2,外貌,⭐
往來,wǎng lái,dealings,L1,動作,⭐
很好,hěn hǎo,very good,L1,語文概念,⭐
從前,cóng qián,previously,L1,時間,⭐
復課,fù kè,to resume classes,L1,活動事件,⭐
微弱,wēi ruò,weak,L4,外貌,⭐
心情,xīn qíng,mood,L1,心理,⭐
心瓣,xīn bàn,heart valve,L3,外貌,⭐
忍不住,rěn bu zhù,cannot help,L1,動作,⭐
忘恩負義,wàng ēn fù yì,to forget favors and violate justice,L3,性格,⭐
忙碌地,máng lù de,busy,L1,動作,⭐
快慢,kuài màn,speed,L1,語文概念,⭐
忽然,hū rán,suddenly,L1,時間,⭐
忿忿不平,fèn fèn bù píng,indignant and resentful,L4,性格,⭐
恭喜,gōng xǐ,to congratulate,L1,語文概念,⭐
惋惜,wǎn xī,to regret,L4,心理,⭐
想念,xiǎng niàn,to miss,L1,心理,⭐
意思,yì si,idea,L1,語文概念,⭐
愛不釋手,ài bù shì shǒu,to like sth so much that one is reluctant to put it down,L3,動作,⭐
愛戴,ài dài,to love and respect,L3,性格,⭐
感情,gǎn qíng,emotion,L1,心理,⭐
慈愛,cí ài,love,L3,性格,⭐
慈祥,cí xiáng,kindly,L2,性格,⭐
慶祝,qìng zhù,to celebrate,L2,活動事件,⭐
憑什麼,píng shén me,why?,L3,動作,⭐
成見,chéng jiàn,preconceived idea,L3,心理,⭐
截止,jié zhǐ,to end,L3,時間,⭐
截然不同,jié rán bù tóng,entirely different,L3,人生哲理,⭐
房間,fáng jiān,room,L1,地點景物,⭐
手勢,shǒu shì,gesture,L3,外貌,⭐
手帕,shǒu pà,handkerchief,L1,物品,⭐
手槍,shǒu qiāng,pistol,L3,物品,⭐
打球,dǎ qiú,to play ball,L1,動作,⭐
打賭,dǎ dǔ,to bet,L4,活動事件,⭐
找到,zhǎo dào,to find,L1,動作,⭐
抓狂,zhuā kuáng,to blow one's top,L3,動作,⭐
抱著,bào zhe,hold a move in chess,L1,動作,⭐
拍手,pāi shǒu,to clap one's hands,L1,動作,⭐
拒絕,jù jué,to refuse,L3,心理,⭐
拘捕,jū bǔ,to arrest,L4,活動事件,⭐
拳打腳踢,quán dǎ jiǎo tī,lit. to punch and kick,L3,動作,⭐
拼命,pīn mìng,to do one's utmost,L1,動作,⭐
拿起,ná qǐ,to pick up,L1,動作,⭐
按部就班,àn bù jiù bān,to follow the prescribed order,L2,性格,⭐
挨餓,ái è,to go hungry,L2,健康,⭐
挾持,xié chí,to seize by the arms,L3,動作,⭐
捉弄,zhuō nòng,to tease,L3,動作,⭐
掉進,diào jìn,fall go forward,L1,動作,⭐
掛念,guà niàn,to feel anxious about,L1,動作,⭐
接著,jiē zhe,to catch and hold on,L1,動作,⭐
揭開,jiē kāi,to uncover,L4,動作,⭐
搶救,qiǎng jiù,to rescue,L3,動作,⭐
摔了一跤,shuāi le yī jiāo,throw down finish one a tumble,L1,動作,⭐
摟抱,lǒu bào,to hug,L3,動作,⭐
摸索,mō suo,to feel about,L3,動作,⭐
撫摸,fǔ mō,to gently caress and stroke,L3,動作,⭐
撿起,jiǎn qǐ,pick up rise,L1,動作,⭐
擁拍,yǒng pāi,embrace and pat,L4,動作,⭐
操場,cāo chǎng,playground,L1,地點景物,⭐
操心,cāo xīn,to worry about,L2,心理,⭐
擦汗,cā hán,rub perspiration,L1,健康,⭐
教室,jiào shì,classroom,L1,地點景物,⭐
教導,jiào dǎo,to instruct,L3,動作,⭐
數據,shù jù,data,L3,科技知識,⭐
昆蟲,kūn chóng,insect,L1,動物,⭐
春天,chūn tiān,spring,L1,四季,⭐
昨天,zuó tiān,yesterday,L1,時間,⭐
時候,shí hou,time,L1,時間,⭐
時間,shí jiān,time,L2,時間,⭐
普遍,pǔ biàn,universal,L3,人生哲理,⭐
晴天,qíng tiān,clear sky,L1,天文氣象,⭐
晴朗,qíng lǎng,sunny and cloudless,L1,天文氣象,⭐
暑假,shǔ jià,summer vacation,L1,時間,⭐
暴躁,bào zào,irascible,L2,性格,⭐
書本,shū běn,book,L3,物品,⭐
書簿,shū bù,book a book,L4,物品,⭐
有效,yǒu xiào,effective,L1,語文概念,⭐
有機可乘,yǒu jī kě chéng,to have an opportunity that one can exploit,L3,人生哲理,⭐
服侍,fú shi,to attend to,L2,動作,⭐
柏樹,bǎi shù,cypress tree,L1,植物,⭐
根本,gēn běn,fundamental,L1,語文概念,⭐
植物,zhí wù,plant,L1,植物,⭐
樓房,lóu fáng,a building of two or more stories,L3,地點景物,⭐
機智聰明,jī zhì cōng ming,quick-witted intelligent,L3,性格,⭐
機會,jī huì,opportunity,L3,心理,⭐
欣賞,xīn shǎng,to appreciate,L1,心理,⭐
歐洲,Ōu zhōu,europe,L4,地點景物,⭐
殷勤,yīn qín,politely,L4,性格,⭐
毆打,ōu dǎ,to beat up,L4,動作,⭐
毒蛇,dú shé,viper,L1,動物,⭐
比較,bǐ jiào,to compare,L1,語文概念,⭐
毫不留情,háo bù liú qíng,to show no quarter,L4,性格,⭐
毫無生氣,háo wú shēng qì,not in the least get angry,L4,外貌,⭐
水泡,shuǐ pào,bubble,L1,語文概念,⭐
永不放棄,yǒng bù fàng qì,never renounce,L3,性格,⭐
永遠,yǒng yuǎn,forever,L1,時間,⭐
決定,jué dìng,to decide,L1,心理,⭐
汽車,qì chē,car,L1,物品,⭐
沉迷,chén mí,to be engrossed,L1,心理,⭐
沒有,méi yǒu,haven't,L1,語文概念,⭐
泉水,quán shuǐ,spring water,L1,地點景物,⭐
泊車,bó chē,to park,L1,動作,⭐
洗澡,xǐ zǎo,to bathe,L2,健康,⭐
活動,huó dòng,to exercise,L1,活動事件,⭐
浪花,làng huā,spray,L1,地點景物,⭐
海峽,hǎi xiá,strait,L3,地點景物,⭐
海邊,hǎi biān,coast,L1,地點景物,⭐
海鷗,hǎi ōu,gull,L4,動物,⭐
深信不疑,shēn xìn bù yí,to believe firmly without any doubt,L4,性格,⭐
淵博,yuān bó,erudite,L4,性格,⭐
溜冰,liū bīng,ice skating,L1,動作,⭐
滿頭霧水,mǎn tóu wù shuǐ,manchu ethnic group head fog water,L3,心理,⭐
潮濕,cháo shī,damp,L2,外貌,⭐
澆水,jiāo shuǐ,to water,L4,植物,⭐
烏鴉,wū yā,crow,L1,動物,⭐
烽煙,fēng yān,fire beacon,L4,活動事件,⭐
無可奈何,wú kě nài hé,have no way out,L4,心理,⭐
無窮無盡,wú qióng wú jìn,endless,L3,人生哲理,⭐
無言以對,wú yán yǐ duì,to be left speechless,L4,人生哲理,⭐
煮飯,zhǔ fàn,to cook,L4,食物,⭐
熱騰騰的,rè téng téng de,steaming hot,L1,外貌,⭐
爭辯,zhēng biàn,a dispute,L3,動作,⭐
爸媽,bà mā,dad and mom,L1,人物,⭐
特別,tè bié,unusual,L2,心理,⭐
犯錯,fàn cuò,to err,L2,動作,⭐
狠心,hěn xīn,callous,L1,性格,⭐
狡辯,jiǎo biàn,to deflect blame from oneself with a dishonest story,L3,動作,⭐
獎杯,jiǎng bēi,trophy cup,L2,物品,⭐
獨立,dú lì,independent,L2,性格,⭐
獲得,huò dé,to obtain,L2,動作,⭐
獻報,xiàn bào,offer a report,L3,動作,⭐
玩具,wán jù,plaything,L1,物品,⭐
現在,xiàn zài,now,L1,時間,⭐
理直氣壯,lǐ zhí qì zhuàng,in the right and self-confident,L4,性格,⭐
番禺,Pān yú,panyu County in Guangdong province,L1,地點景物,⭐
疲倦,pí juàn,to tire,L1,健康,⭐
疼痛,téng tòng,pain,L1,健康,⭐
疾病,jí bìng,disease,L1,健康,⭐
痊瘉,quán yù,recover fully,L1,健康,⭐
瘡疤,chuāng bā,scar,L3,外貌,⭐
瘦巴巴,shòu bā bā,thin,L3,外貌,⭐
瘦弱,shòu ruò,thin and weak,L1,外貌,⭐
癖好,pǐ hào,one's passion,L4,心理,⭐
盆栽,pén zāi,to grow in a pot,L3,植物,⭐
盡情,jìn qíng,as much as one likes,L1,動作,⭐
盡情地,jìn qíng de,as much as one likes,L1,動作,⭐
目登口呆,mù dēng kǒu dāi,dumbfounded,L3,外貌,⭐
目的,mù dì,purpose,L1,語文概念,⭐
相依為命,xiāng yī wéi mìng,mutually dependent for life,L3,人生哲理,⭐
相信,xiāng xìn,to believe,L1,心理,⭐
相逢,xiāng féng,to meet,L4,活動事件,⭐
眉毛,méi mao,eyebrow,L1,外貌,⭐
看見,kàn jiàn,to see,L1,動作,⭐
眼睛,yǎn jing,eye,L1,外貌,⭐
睡覺,shuì jiào,to go to bed,L1,動作,⭐
瞞騙,mán piàn,to deceive,L3,動作,⭐
瞟一眼,piǎo yī yǎn,cast a glance a glance,L2,動作,⭐
瞥見,piē jiàn,to glimpse,L4,動作,⭐
知曉,zhī xiǎo,to know,L4,心理,⭐
知道,zhī dào,to know,L1,心理,⭐
碼頭,mǎ tóu,dock,L1,地點景物,⭐
祝福,zhù fú,blessings,L2,動作,⭐
神彩飛揚,shén cǎi fēi yáng,radiant and energetic,L2,外貌,⭐
神態,shén tài,appearance,L2,外貌,⭐
禁止,jìn zhǐ,to prohibit,L2,動作,⭐
禍不單行,huò bù dān xíng,misfortune does not come singly,L2,人生哲理,⭐
禮儀,lǐ yí,etiquette,L3,動作,⭐
萬聖節,Wàn shèng jié,all Saints,L1,活動事件,⭐
空餘時間,kòng yú shí jiān,free time,L2,時間,⭐
穿著,chuān zhuó,attire,L1,動作,⭐
竊竊私語,qiè qiè sī yǔ,to whisper,L3,動作,⭐
立刻,lì kè,forthwith,L1,時間,⭐
竭力,jié lì,to do one's utmost,L4,動作,⭐
竹子,zhú zi,bamboo,L1,植物,⭐
竹簍,zhú lǒu,bamboo basket,L3,物品,⭐
筆刨,bǐ bào,pen carpenter's plane,L1,物品,⭐
等候,děng hòu,to wait,L2,動作,⭐
節日,jié rì,holiday,L1,活動事件,⭐
篇章,piān zhāng,chapter,L3,語文概念,⭐
簡陋,jiǎn lòu,simple and crude,L3,外貌,⭐
籃球,lán qiú,basketball,L1,物品,⭐
精神,jīng shén,spirit,L1,健康,⭐
糟糕,zāo gāo,too bad,L1,心理,⭐
終於,zhōng yú,at last,L1,時間,⭐
絡繹不絕,luò yì bù jué,continuously,L3,人生哲理,⭐
編寫,biān xiě,to compile,L3,語文概念,⭐
緩緩地,huǎn huǎn de,slowly,L1,動作,⭐
練習,liàn xí,to practice,L1,動作,⭐
縫補,féng bǔ,to darn,L4,動作,⭐
總是,zǒng shì,always,L1,語文概念,⭐
繳稅,jiǎo shuì,to pay tax,L3,動作,⭐
繼續,jì xù,to continue,L1,動作,⭐
美妙的,měi miào de,beautiful,L1,外貌,⭐
羨慕,xiàn mù,to envy,L4,心理,⭐
翩翩,piān piān,elegant,L3,外貌,⭐
翻譯,fān yì,to translate,L3,語文概念,⭐
老伯伯,lǎo bó bo,grandpa,L1,人物,⭐
肆虐,sì nüè,to wreak havoc,L3,動作,⭐
肩膀,jiān bǎng,shoulder,L4,外貌,⭐
背影,bèi yǐng,rear view,L1,外貌,⭐
脫離,tuō lí,to separate oneself from,L3,動作,⭐
腦袋,nǎo dai,head,L1,外貌,⭐
腳趾,jiǎo zhǐ,toe,L1,外貌,⭐
臉龐,liǎn páng,face,L3,外貌,⭐
臉蛋,liǎn dàn,cheek,L1,外貌,⭐
臉頰,liǎn jiá,cheek,L3,外貌,⭐
臨摹,lín mó,to copy,L4,動作,⭐
自告奮勇,zì gào fèn yǒng,to volunteer for,L4,性格,⭐
自私自利,zì sī zì lì,everything for self and selfish profit,L4,性格,⭐
與眾不同,yǔ zhòng bù tóng,to stand out from the masses,L3,性格,⭐
舒服地,shū fu de,comfortable,L1,健康,⭐
船艙,chuán cāng,hold of ship,L3,物品,⭐
艱難,jiān nán,difficult,L3,心理,⭐
花瓣,huā bàn,petal,L3,植物,⭐
花草,huā cǎo,flowers and plants,L1,植物,⭐
著作,zhù zuò,to write,L4,語文概念,⭐
著急,zháo jí,to worry,L1,心理,⭐
葉子,yè zi,leaf (,L1,植物,⭐
蔬菜,shū cài,vegetables,L1,食物,⭐
藍色,lán sè,blue,L1,顏色,⭐
蚊子,wén zi,mosquito,L1,動物,⭐
蛻變,tuì biàn,to transform,L3,動作,⭐
蜻蜓,qīng tíng,dragonfly,L1,動物,⭐
蝎子,xiē zi,scorpion,L4,動物,⭐
螞蟻,mǎ yǐ,ant,L1,動物,⭐
衰弱,shuāi ruò,weak,L3,健康,⭐
裁判,cái pàn,to judge,L2,人物,⭐
裁員,cái yuán,to cut staff,L2,人物,⭐
裁決,cái jué,ruling,L3,活動事件,⭐
裁減,cái jiǎn,to reduce,L3,動作,⭐
裂縫,liè fèng,crack,L2,物品,⭐
補充,bǔ chōng,to replenish,L2,動作,⭐
補救,bǔ jiù,to remedy,L2,動作,⭐
裝備,zhuāng bèi,equipment,L2,物品,⭐
